,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
139613,0.96,94.1,8305,1.87,vanmeter,109.0,1.25,0
99161,2.05,91.86,12074,3.5,oreilly,109.0,1.06,0
127279,4.26,88.38,3450,2.78,spradling,110.0,1.8600000000000000,0
128954,0.32,95.34,4098,2.03,stiffler,110.0,0.88,0
4641,0.39,96.25,4077,1.37,armentrout,110.0,1.03,0
123152,4.45,86.75,4205,1.97,shoemake,111.0,4.5,0
145648,6.25,89.5,4382,1.96,wilfong,112.0,0.6100000000000000,0
58830,0.23,95.67,4806,2.02,hileman,113.0,0.9,0
22282,0.55,93.6,3064,3.46,caylor,114.0,0.94,0
58819,1.54,89.82,3113,2.38,hilderbrand,114.0,3.92,0
70587,0.0,95.46,3106,1.64,koepke,114.0,1.22,0
87090,34.73,62.59,3740,0.96,mcelveen,115.0,0.0,0
127786,30.46,65.35,5532,1.39,stancil,116.0,0.77,0
131255,1.12,94.02,4468,2.15,swaney,116.0,1.4300000000000000,0
118623,0.23,96.9,3034,1.58,scheetz,116.0,0.4,0
117190,2.64,91.82,3067,1.66,sanner,118.0,2.19,0
114856,4.22,92.19,3290,1.58,rudisill,118.0,0.79,0
26754,3.12,91.46,3617,2.21,cornelison,119.0,1.58,0
18795,1.86,92.99,4354,2.23,burkey,120.0,0.74,0
126645,1.29,94.01,3420,2.11,sowards,120.0,1.1400000000000000,0
44020,0.64,95.34,3113,1.41,foor,121.0,1.32,0
4864,0.17,95.98,4681,1.03,arrowood,121.0,1.07,0
89657,15.58,80.52,3896,1.67,metts,121.0,1.06,0
139301,0.34,94.32,3219,2.36,vandeventer,122.0,1.58,0
97904,2.28,93.17,3688,1.68,oday,123.0,1.2,0
127141,0.0,96.39,3016,1.46,spitler,123.0,0.43,0
91064,17.18,77.68,4965,1.59,mitchem,124.0,1.02,0
108520,29.08,59.15,3346,4.72,rachal,125.0,3.02,0
132502,42.53,51.88,3325,1.44,tanksley,125.0,1.23,0
128579,16.94,78.96,3854,1.92,stelly,126.0,1.11,0
29495,0.19,91.59,6804,5.69,damato,127.0,1.3200000000000000,0
18714,2.39,91.2,5399,2.43,burgett,129.0,1.78,0
43031,13.06,80.9,3178,1.95,finnell,129.0,1.42,0
14146,0.5,95.5,4805,1.6,bolinger,130.0,1.06,0
145286,1.25,93.14,3992,3.11,widner,130.0,1.1600000000000000,0
39137,5.41,88.24,3681,3.12,embrey,131.0,0.95,0
17599,0.86,93.92,5690,2.07,brummett,132.0,1.29,0
28548,35.34,59.98,3506,1.83,cullins,132.0,1.09,0
127706,1.19,94.16,3770,1.86,stalnaker,132.0,0.9200000000000000,0
117658,12.11,81.93,4377,2.67,sartin,133.0,1.23,0
94762,2.45,82.39,4617,1.71,naquin,133.0,10.61,0
147034,1.01,95.43,4048,1.26,woosley,137.0,0.77,0
125332,4.03,90.49,5014,2.05,slusher,137.0,1.56,0
122271,18.85,74.73,3003,1.4,shankle,138.0,2.7,0
87917,0.28,95.77,4304,1.79,mcnew,138.0,1.09,0
145867,1.25,93.26,5205,2.42,wilmoth,138.0,1.44,0
85376,6.84,89.13,3478,1.75,massengill,138.0,0.0,0
60380,0.28,92.01,3179,2.89,honea,139.0,3.0500000000000000,0
119978,0.21,95.62,3288,1.92,schuetz,140.0,0.94,0
67439,12.05,82.45,3368,1.78,keesee,140.0,1.55,0
82455,1.1,94.22,6625,1.86,maggard,141.0,0.98,0
104930,24.76,68.99,5315,2.88,pirtle,141.0,0.8300000000000000,0
14525,0.24,97.97,8507,0.91,bontrager,141.0,0.28,0
44504,0.57,95.34,3325,2.02,frady,142.0,0.9300000000000000,0
141201,0.76,63.21,3949,18.31,vierra,143.0,7.16,0
76590,1.85,93.4,4210,2.26,leasure,143.0,1.0,0
107049,0.17,95.93,3565,2.5,priebe,143.0,0.68,0
34324,0.0,95.33,3060,3.24,dipasquale,144.0,0.42,0
73467,0.23,96.56,4682,1.2,kunkle,144.0,0.6,0
87669,0.28,95.53,3554,2.22,mckown,144.0,0.7,0
94630,4.07,91.12,5134,2.2,nalley,146.0,1.03,0
29558,0.0,93.38,3339,3.8,damore,146.0,0.93,0
45884,0.41,90.91,3145,2.29,fuson,146.0,3.9800000000000000,0
133705,0.36,94.96,4128,1.67,tetreault,146.0,0.85,0
55940,15.37,80.53,3031,1.68,hartzog,146.0,0.8300000000000000,0
135619,0.24,95.31,4923,1.63,torgerson,147.0,1.04,0
139699,3.03,92.82,6689,1.85,vanover,147.0,0.79,0
97787,1.29,93.85,118557,2.32,obrien,147.0,1.13,0
144955,0.77,91.79,3105,3.67,whisler,148.0,1.38,0
