,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
47838,1.05,95.17,1138,1.41,geesey,16.0,0.0,0
146994,0.0,94.15,1265,2.69,woolever,16.0,0.63,0
130235,0.0,96.83,1232,1.79,stueve,16.0,0.0,0
86920,18.78,73.51,2412,4.27,mccullar,16.0,1.83,0
56450,0.0,97.58,1239,1.13,hawbaker,16.0,0.0,0
22924,0.66,92.86,2114,3.45,chamness,17.0,1.23,0
19836,21.47,74.45,1276,1.41,calcote,17.0,1.3400000000000000,0
139636,0.71,92.81,1126,3.64,vannest,17.0,1.51,0
64675,21.92,69.5,1282,2.34,jimison,17.0,1.8000000000000000,0
43543,0.0,97.23,1663,0.84,flinchum,17.0,0.42,0
57002,22.84,71.96,1826,1.92,hegwood,17.0,0.9300000000000000,0
33876,0.0,95.11,1083,1.85,digennaro,17.0,1.29,0
33902,0.0,94.76,1031,3.88,digioia,17.0,0.0,0
139731,0.0,97.76,1025,0.88,vanroekel,17.0,0.0,0
93535,0.0,94.26,1202,2.08,mullenax,17.0,0.5,0
60008,18.65,75.52,1528,2.62,holiman,17.0,2.1,0
52264,23.94,70.63,1086,2.12,griffie,17.0,0.0,0
127207,0.0,96.01,1129,1.15,sponaugle,17.0,0.53,0
59047,0.0,94.05,1379,2.97,hinderliter,17.0,1.09,0
32677,0.0,95.85,1157,1.64,derossett,17.0,0.61,0
147031,0.55,95.26,1098,2.82,woomer,17.0,0.0,0
29187,0.0,94.63,1323,2.12,daffron,17.0,0.6,0
68926,0.49,95.26,1224,1.31,kingrey,17.0,0.0,0
122985,23.06,71.73,1535,1.43,shinault,17.0,0.0,0
50431,7.16,85.59,1145,2.45,goley,17.0,2.62,0
86916,11.12,84.88,1025,1.27,mccuiston,17.0,0.0,0
17505,0.0,96.33,1226,1.63,brueggeman,17.0,0.65,0
139427,0.0,97.16,2147,0.88,vanfossen,18.0,0.47,0
70295,0.0,97.4,1618,0.87,knouse,18.0,0.56,0
97718,10.55,82.18,1829,1.53,oberry,18.0,3.23,0
147132,22.73,70.38,1698,2.3,worthey,18.0,1.77,0
111559,0.0,95.68,1782,1.12,rexrode,18.0,0.62,0
54979,0.45,95.25,2002,2.35,hammontree,18.0,0.7,0
146059,0.0,97.01,1572,1.59,wingler,18.0,0.51,0
137537,0.0,93.91,1198,2.67,tusing,18.0,2.09,0
137458,9.38,79.92,1215,4.77,turnbough,18.0,1.97,0
24836,0.0,94.13,1141,2.19,clagg,19.0,1.4,0
76349,12.93,84.62,1307,0.99,lawhorne,19.0,0.8400000000000000,0
68836,0.0,97.33,1161,1.21,kimrey,19.0,0.52,0
18898,0.0,98.04,1072,0.65,burnworth,19.0,0.0,0
139677,0.52,94.25,2296,2.31,vanorden,19.0,1.31,0
139575,0.0,93.34,1397,2.58,vanleeuwen,19.0,1.36,0
13568,0.78,95.2,1020,2.16,bockelman,19.0,0.0,0
81053,0.58,96.55,1564,1.66,luedke,19.0,0.0,0
141087,1.53,95.4,2088,1.53,vicknair,19.0,0.0,0
124163,0.58,95.06,1215,0.91,simerly,19.0,0.0,0
97912,0.27,95.35,2968,2.32,odea,19.0,1.18,0
87960,16.12,75.52,1303,4.6,mcpeters,19.0,0.0,0
41193,0.0,98.0,1351,1.18,farabaugh,19.0,0.0,0
146985,15.9,77.12,1390,2.37,woolbright,20.0,2.01,0
14854,0.0,99.15,2357,0.55,borntrager,20.0,0.0,0
98143,0.65,94.75,1849,2.27,ogara,20.0,1.4000000000000000,0
42897,2.6,94.72,1230,1.46,fillman,20.0,0.0,0
74193,0.42,91.63,2606,2.0,laclair,20.0,4.49,0
49658,0.0,95.71,1003,1.3,glander,20.0,1.3,0
99971,0.0,97.08,2641,1.48,overcash,20.0,0.3,0
35223,0.45,91.74,1344,1.41,donathan,20.0,2.68,0
139609,0.0,94.94,1246,2.17,vanmatre,20.0,0.4,0
76206,0.0,95.76,1698,1.83,lauver,20.0,0.41,0
139463,0.0,94.53,1571,3.63,vangundy,20.0,0.38,0
134492,11.59,83.34,1837,1.74,tidmore,20.0,1.2,0
60963,0.0,97.18,1027,1.95,houseknecht,20.0,0.49,0
9251,0.0,94.2,1086,3.41,bearce,20.0,0.0,0
25111,42.14,51.59,1037,2.51,clewis,20.0,1.45,0
61571,17.59,73.03,1546,3.04,huitt,20.0,3.49,0
123095,0.79,94.82,1525,2.43,shisler,20.0,0.0,0
146310,0.31,94.79,1613,2.42,wisneski,20.0,1.1100000000000000,0
111731,1.49,93.07,1544,1.88,rhoten,20.0,1.81,0
80615,0.0,90.91,1551,4.13,loveall,21.0,0.58,0
27470,3.2,91.04,1283,2.26,crader,21.0,1.0900000000000000,0
134737,30.74,66.36,1763,0.79,tinch,21.0,0.0,0
105421,0.0,96.5,1598,1.63,ploof,21.0,0.5,0
140021,5.27,91.2,1329,0.83,varnadore,21.0,1.2,0
139789,1.96,92.18,2403,2.21,vanslyke,21.0,1.71,0
