,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,Other
99307,0.0,14.11,163,84.66,ornelaz,6.0,0.0,0
99138,0.0,1.23,812,98.03,ordones,6.0,0.0,0
99131,0.0,3.61,249,96.39,ordinola,6.0,0.0,0
100837,0.83,2.15,1210,96.61,panameno,6.0,0.0,0
138258,0.0,2.92,582,95.7,urbaez,6.0,0.0,0
137169,0.0,5.88,153,94.12,tueros,6.0,0.0,0
141611,0.0,9.91,111,90.09,viramontez,6.0,0.0,0
147866,0.0,0.0,128,96.09,yataco,6.0,0.0,0
98465,0.0,5.81,327,92.35,olaiz,6.0,1.83,0
100303,0.0,0.0,171,57.89,paderes,6.0,35.09,0
30446,0.0,21.38,449,68.82,deaquino,6.0,7.8,0
39934,1.25,5.7,561,92.34,escontrias,6.0,0.0,0
113786,0.0,7.13,435,91.26,rondan,6.0,0.0,0
39926,0.0,25.19,135,73.33,escobio,6.0,0.0,0
98464,0.0,5.29,189,80.42,olais,6.0,12.7,0
10598,0.0,3.72,269,95.54,bentura,7.0,0.0,0
22347,0.0,6.26,1214,85.34,cecena,7.0,7.41,0
83075,0.0,23.02,126,76.98,malavet,7.0,0.0,0
63349,0.0,5.6,125,92.8,jabalera,7.0,0.0,0
137505,0.0,1.87,1233,98.05,turrubiartes,7.0,0.0,0
138690,0.0,3.16,190,94.74,valdelamar,7.0,0.0,0
81804,0.0,3.44,873,96.22,macareno,7.0,0.0,0
91922,0.0,0.0,165,98.79,monfil,7.0,0.0,0
137156,0.0,4.15,289,95.5,tudon,7.0,0.0,0
22949,0.0,0.0,143,97.9,chamul,7.0,0.0,0
63685,0.0,7.28,151,90.73,jaldin,7.0,0.0,0
23239,0.0,3.86,596,95.47,chauca,7.0,0.0,0
124300,0.0,8.67,300,91.0,sinche,7.0,0.0,0
22524,0.0,15.71,382,82.72,cepin,7.0,0.0,0
80134,0.0,16.67,126,79.37,lopex,7.0,0.0,0
6101,0.0,0.0,215,97.21,ayvar,7.0,0.0,0
22645,0.0,4.96,121,92.56,certuche,7.0,0.0,0
63695,0.0,10.88,147,83.67,jaloma,7.0,4.08,0
92152,0.0,6.59,167,80.84,monteroso,7.0,11.98,0
