,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
53897,52.52,41.7,8191,2.55,guyton,1216.0,0.57,0
96026,75.68,2.48,888,0.9,niang,1220.0,17.23,0
29840,76.65,14.97,167,4.19,daphnis,1223.0,0.0,0
131621,85.36,11.18,1530,1.05,sylla,1224.0,0.0,0
87876,51.03,42.97,20778,1.85,mcneal,1224.0,1.01,0
16971,52.2,41.47,1912,2.41,broady,1226.0,0.94,0
149960,63.94,23.56,208,9.62,ziyad,1227.0,0.0,0
81223,50.17,33.73,590,12.03,luma,1230.0,0.0,0
86421,62.3,24.96,1679,6.85,mcbean,1230.0,1.55,0
60719,59.07,35.23,386,3.11,horry,1232.0,0.0,0
142527,77.71,15.46,1844,1.63,waddy,1232.0,1.03,0
82781,77.73,15.73,1100,2.0,maina,1235.0,2.27,0
137812,98.18,0.0,385,0.0,uche,1238.0,0.0,0
133244,80.43,12.34,705,3.12,telfair,1242.0,0.0,0
101455,67.14,26.76,213,4.69,parquet,1243.0,0.0,0
99880,92.67,2.84,423,1.89,ouattara,1246.0,0.0,0
120581,68.5,24.9,2321,2.63,scurry,1247.0,0.73,0
125780,51.16,36.91,1249,8.81,sobers,1247.0,0.0,0
76443,82.51,11.0,709,0.0,lazard,1250.0,2.12,0
31242,90.55,0.0,201,0.0,dejohnette,1253.0,0.0,0
73297,77.95,5.13,195,8.72,kuku,1261.0,7.18,0
9889,93.96,2.06,1506,1.73,bekele,1267.0,0.33,0
145995,54.79,38.61,2528,2.41,windom,1272.0,1.03,0
91575,70.87,22.55,4230,3.66,moise,1281.0,0.63,0
19369,61.56,30.46,1241,3.22,byfield,1282.0,1.37,0
102640,52.9,42.75,138,0.0,pellew,1283.0,0.0,0
34071,87.32,6.77,473,2.75,dimanche,1285.0,0.0,0
28008,79.67,15.0,2213,1.9,cromartie,1285.0,0.6800000000000000,0
38982,81.99,13.44,372,2.69,eloi,1288.0,0.0,0
25919,50.87,43.25,2465,2.88,colquitt,1295.0,0.78,0
15793,52.85,42.65,1156,1.38,bradwell,1295.0,0.43,0
76332,95.36,1.63,1292,0.62,lawal,1299.0,0.0,0
29320,55.83,35.0,840,5.12,dais,1301.0,2.02,0
213,81.01,5.55,595,0.0,abdurrahman,1302.0,5.55,0
55475,51.57,43.18,4565,1.88,hardeman,1302.0,0.5,0
104786,74.81,16.74,2318,4.66,pinnock,1304.0,0.0,0
138231,55.61,33.18,7401,2.73,upshaw,1311.0,5.6500000000000000,0
93418,54.01,4.45,337,0.0,mujahid,1311.0,35.01,0
105264,71.78,21.83,1063,1.32,plater,1312.0,1.03,0
50868,84.35,13.04,115,0.0,gooseberry,1318.0,0.0,0
61883,53.2,38.88,859,2.91,hurston,1320.0,0.0,0
17419,58.46,34.19,1483,2.83,browner,1326.0,0.0,0
56053,90.22,1.65,787,0.0,hashi,1338.0,5.21,0
124353,51.63,43.46,13749,2.09,singletary,1340.0,0.74,0
136491,51.18,41.91,8546,2.15,trice,1341.0,0.94,1
75964,67.32,26.85,5068,2.07,lattimore,1341.0,0.63,0
1042,96.07,1.68,891,0.0,adebayo,1347.0,0.0,0
394,91.26,3.88,206,2.43,abelard,1352.0,0.0,0
41575,74.69,19.03,1466,2.39,fauntleroy,1357.0,0.8200000000000000,0
1189,80.17,5.39,464,7.76,agu,1358.0,0.0,0
29102,72.15,20.81,298,1.68,dabo,1360.0,2.01,0
84079,72.44,20.99,4749,2.17,mapp,1365.0,0.65,0
37324,58.8,23.61,233,7.3,duvivier,1376.0,0.0,0
68966,60.86,34.84,838,1.19,kinloch,1377.0,0.0,0
89370,88.52,5.24,4793,1.82,merriweather,1382.0,0.5,0
60068,62.31,30.28,2351,2.59,hollie,1382.0,0.0,0
98335,80.14,3.48,287,2.09,oji,1389.0,10.1,0
24340,53.8,38.59,368,2.99,churn,1393.0,1.63,0
23546,91.06,3.4,4027,2.71,chery,1394.0,1.19,0
54398,50.5,34.32,303,2.64,hagi,1395.0,8.25,0
38569,75.37,17.91,804,0.0,eke,1399.0,3.48,0
83328,52.94,42.86,119,0.0,malory,1403.0,0.0,0
45443,56.82,37.12,132,0.0,fru,1407.0,0.0,0
109027,52.61,27.73,422,0.0,raji,1407.0,9.48,0
147691,53.74,38.96,4384,3.17,yancy,1409.0,1.21,0
121756,97.27,0.0,110,0.0,servius,1410.0,0.0,0
106955,94.09,0.0,220,2.27,presume,1417.0,0.0,1
4216,92.88,2.56,1643,0.0,appiah,1417.0,1.89,0
20594,60.0,31.43,8047,3.75,canty,1423.0,2.07,0
30753,76.19,19.94,336,1.49,decius,1433.0,0.0,0
104069,65.02,27.35,223,0.0,phill,1436.0,0.0,0
49131,60.99,34.13,1333,1.35,gilford,1436.0,0.45,0
25658,59.41,24.49,1323,12.62,colas,1437.0,0.0,0
126878,82.29,14.29,175,0.0,specks,1443.0,0.0,0
128731,61.55,31.43,1368,2.78,steptoe,1447.0,0.0,0
134001,92.51,2.78,935,0.0,thiam,1455.0,1.82,0
122333,51.48,13.75,1113,0.0,shareef,1456.0,28.75,0
22014,73.56,21.49,1959,1.58,catchings,1458.0,0.0,0
126774,51.25,43.04,12457,2.01,spann,1462.0,0.6600000000000000,0
86661,55.98,37.73,18857,2.31,mcclendon,1465.0,0.8300000000000000,0
97516,60.14,19.57,138,4.35,nyack,1473.0,13.04,0
89036,66.35,24.68,312,6.73,mendy,1478.0,0.0,0
65463,70.32,21.35,1991,2.86,kaba,1491.0,3.57,0
130995,52.54,35.53,394,4.57,surin,1492.0,4.57,0
3045,68.32,26.52,543,3.68,amie,1493.0,0.0,0
84491,86.11,0.0,180,6.11,marigny,1498.0,0.0,0
84364,79.17,11.9,168,2.98,mardy,1498.0,0.0,0
125543,92.99,2.8,214,0.0,smokes,1511.0,0.0,0
67804,73.59,18.43,1704,2.76,kendricks,1516.0,0.0,0
147628,96.92,0.0,195,0.0,yakubu,1518.0,0.0,0
93167,73.3,3.39,442,15.38,moyo,1519.0,0.0,0
99189,53.19,30.21,235,3.83,oreste,1521.0,11.06,0
117740,80.25,14.81,243,2.06,satchel,1535.0,0.0,0
81691,78.82,15.52,406,2.71,lyte,1536.0,0.0,0
137781,50.0,29.11,292,0.0,uba,1537.0,17.12,0
76512,58.03,34.53,753,3.98,leacock,1537.0,0.0,0
30751,94.78,0.0,115,0.0,decimus,1537.0,0.0,0
28850,52.45,42.23,1693,2.54,custis,1541.0,0.0,0
121217,68.57,24.3,1667,2.16,seldon,1541.0,0.0,0
131928,55.48,34.93,146,0.0,tabi,1547.0,8.22,0
36975,60.4,32.41,3702,2.51,dunston,1552.0,1.25,0
25364,71.41,21.74,6565,2.51,cobbs,1561.0,0.83,0
15611,50.47,43.87,17255,2.17,boykin,1566.0,0.6700000000000000,0
10692,73.26,21.39,187,0.0,bercy,1569.0,2.67,0
87380,61.95,32.16,5789,2.37,mcgriff,1569.0,0.64,0
137175,71.03,23.45,145,0.0,tufa,1571.0,4.14,0
132492,55.53,39.48,461,0.0,tankard,1571.0,0.0,0
122799,51.18,43.66,8420,2.05,sherrod,1574.0,0.7,0
13522,58.97,17.24,290,13.45,bocage,1584.0,0.0,0
67412,54.03,36.76,2843,2.78,keels,1585.0,1.73,0
94790,89.62,3.46,2774,3.24,narcisse,1585.0,0.0,0
80038,87.72,4.39,114,0.0,longus,1591.0,0.0,0
16129,84.46,3.59,3429,8.63,brathwaite,1599.0,0.0,0
91950,74.07,13.43,216,9.26,mongo,1599.0,0.0,0
2527,85.97,2.88,4163,6.85,alleyne,1600.0,0.8400000000000000,0
2482,85.38,8.38,561,3.39,alcide,1607.0,0.0,0
108108,51.21,42.8,9780,1.9,quarles,1609.0,0.6600000000000000,0
97215,53.74,42.52,294,1.7,novembre,1611.0,0.0,0
34115,50.68,38.36,219,5.48,dimes,1612.0,0.0,0
120610,61.71,32.68,410,2.2,seaborne,1616.0,0.0,0
78556,68.04,18.04,194,5.15,lighten,1622.0,0.0,0
121992,88.44,1.97,3963,4.52,shabazz,1622.0,0.81,0
11094,69.47,24.36,665,1.65,berrien,1627.0,0.0,0
88926,88.0,5.6,125,0.0,mems,1636.0,0.0,0
105715,90.3,2.85,526,3.23,poitier,1637.0,0.0,0
133689,51.9,37.34,158,8.86,tete,1638.0,0.0,0
113516,62.62,29.67,428,4.44,roker,1640.0,0.0,0
32973,82.97,12.44,1069,1.68,destin,1640.0,0.0,0
12072,52.84,35.52,335,2.39,bijou,1641.0,2.39,0
98347,96.6,1.24,1939,0.77,okafor,1641.0,0.0,0
